model_id,taxonomy_condition,label,precision,recall,f1,support
deepseek-v4-flash,T0,bug,0.6154838709677419,0.954,0.7482352941176471,500
deepseek-v4-flash,T0,feature,0.8635394456289979,0.81,0.8359133126934984,500
deepseek-v4-flash,T0,question,0.8087649402390438,0.406,0.5406125166444741,500
deepseek-v4-flash,T1,bug,0.6056701030927835,0.94,0.7366771159874608,500
deepseek-v4-flash,T1,feature,0.8635346756152126,0.772,0.8152059134107709,500
deepseek-v4-flash,T1,question,0.7983870967741935,0.396,0.5294117647058824,500
deepseek-v4-flash,T2,bug,0.6124837451235371,0.942,0.7423167848699763,500
deepseek-v4-flash,T2,feature,0.8647450110864745,0.78,0.8201892744479495,500
deepseek-v4-flash,T2,question,0.7906976744186046,0.408,0.5382585751978892,500
deepseek-v4-flash,T3,bug,0.5972045743329097,0.94,0.7303807303807304,500
deepseek-v4-flash,T3,feature,0.8643326039387309,0.79,0.8254963427377221,500
deepseek-v4-flash,T3,question,0.793859649122807,0.362,0.49725274725274726,500
deepseek-v4-flash,T4,bug,0.6061776061776062,0.942,0.7376664056382146,500
deepseek-v4-flash,T4,feature,0.8791208791208791,0.8,0.837696335078534,500
deepseek-v4-flash,T4,question,0.8162393162393162,0.382,0.5204359673024523,500
glm-5.2,T0,bug,0.6470588235294118,0.946,0.768480909829407,500
glm-5.2,T0,feature,0.8741865509761388,0.806,0.8387096774193549,500
glm-5.2,T0,question,0.8093645484949833,0.484,0.6057571964956195,500
glm-5.2,T1,bug,0.6208718626155878,0.94,0.7478122513922036,500
glm-5.2,T1,feature,0.8607594936708861,0.816,0.837782340862423,500
glm-5.2,T1,question,0.828125,0.424,0.5608465608465608,500
glm-5.2,T2,bug,0.6215139442231076,0.936,0.7470071827613727,500
glm-5.2,T2,feature,0.8622881355932204,0.814,0.8374485596707819,500
glm-5.2,T2,question,0.8153846153846154,0.424,0.5578947368421052,500
glm-5.2,T3,bug,0.6158854166666666,0.946,0.7460567823343849,500
glm-5.2,T3,feature,0.8659574468085106,0.814,0.8391752577319588,500
glm-5.2,T3,question,0.8117647058823529,0.414,0.5483443708609271,500
glm-5.2,T4,bug,0.6212319790301442,0.948,0.7505938242280285,500
glm-5.2,T4,feature,0.864693446088795,0.818,0.8406988694758479,500
glm-5.2,T4,question,0.8149606299212598,0.414,0.5490716180371353,500
kimi-k2.7-code,T0,bug,0.6556927297668038,0.956,0.7778681855166802,500
kimi-k2.7-code,T0,feature,0.8874172185430463,0.804,0.8436516264428122,500
kimi-k2.7-code,T0,question,0.8427672955974843,0.536,0.6552567237163814,500
kimi-k2.7-code,T1,bug,0.6291390728476821,0.95,0.7569721115537849,500
kimi-k2.7-code,T1,feature,0.867237687366167,0.81,0.8376421923474664,500
kimi-k2.7-code,T1,question,0.851145038167939,0.446,0.5853018372703412,500
kimi-k2.7-code,T2,bug,0.6157826649417852,0.952,0.7478397486252946,500
kimi-k2.7-code,T2,feature,0.8550420168067226,0.814,0.8340163934426229,500
kimi-k2.7-code,T2,question,0.8559322033898306,0.404,0.5489130434782609,500
kimi-k2.7-code,T3,bug,0.6089171974522293,0.956,0.7439688715953308,500
kimi-k2.7-code,T3,feature,0.8631578947368421,0.82,0.841025641025641,500
kimi-k2.7-code,T3,question,0.8636363636363636,0.38,0.5277777777777778,500
kimi-k2.7-code,T4,bug,0.6079182630906769,0.952,0.7420109119251753,500
kimi-k2.7-code,T4,feature,0.864516129032258,0.804,0.8331606217616581,500
kimi-k2.7-code,T4,question,0.8398268398268398,0.388,0.53077975376197,500
