subset,comparison,mean_delta_macro_f1,median_delta_macro_f1,ci_low,ci_high,negative_blocks,blocks
original,T1-T0,-0.022244122619658645,-0.018439248832043953,-0.033535412607,-0.011593937653632825,13,15
original,T2-T0,-0.026560538190173552,-0.023906493693231612,-0.03836441059456427,-0.015043281588241761,12,15
original,T3-T0,-0.03521427242322493,-0.032190289152478124,-0.04811819612683926,-0.023202976105225877,15,15
original,T4-T0,-0.02979734268433273,-0.024076539990640744,-0.043337253549503005,-0.01665984112397066,13,15
original,"mean(T1,T2,T3,T4)-T0",-0.028454068979347488,-0.024010971540296855,-0.040086624510807536,-0.01745655434269541,13,15
drop_exact_train_test_duplicates,T1-T0,-0.02264629535684611,-0.018439248832043953,-0.03416849434464904,-0.011924671599615064,13,15
drop_exact_train_test_duplicates,T2-T0,-0.02673759801230462,-0.023960541506829913,-0.038613964309496956,-0.015185607410796453,12,15
drop_exact_train_test_duplicates,T3-T0,-0.035681557752583345,-0.032218101429829726,-0.04885125842517162,-0.02356241034695283,15,15
drop_exact_train_test_duplicates,T4-T0,-0.030038547691562674,-0.024076539990640744,-0.043501134839442845,-0.016907824699098264,13,15
drop_exact_train_test_duplicates,"mean(T1,T2,T3,T4)-T0",-0.028775999703324208,-0.024010971540296855,-0.040534828840833335,-0.017726621050775476,14,15
drop_near_train_test_duplicates,T1-T0,-0.02205374338628793,-0.018499111674772917,-0.03302352096318895,-0.011580585655540657,13,15
drop_near_train_test_duplicates,T2-T0,-0.02655642367603562,-0.023906493693231612,-0.03829000973695979,-0.015077166674428181,12,15
drop_near_train_test_duplicates,T3-T0,-0.03500017084210014,-0.03242009819582903,-0.047702243339624965,-0.023160831026186674,15,15
drop_near_train_test_duplicates,T4-T0,-0.029697003707945265,-0.024076539990640744,-0.04328777798009295,-0.0165801995504199,13,15
drop_near_train_test_duplicates,"mean(T1,T2,T3,T4)-T0",-0.028326835403092242,-0.02401418855321813,-0.03969982966799147,-0.017462231249238135,13,15
drop_label_conflict_participants,T1-T0,-0.022314047772612863,-0.018439248832043953,-0.033719844754071075,-0.01164979564049809,13,15
drop_label_conflict_participants,T2-T0,-0.026766359829060355,-0.023965396552454887,-0.03867274993595831,-0.015091839295801053,12,15
drop_label_conflict_participants,T3-T0,-0.035225488277126536,-0.03163404906467482,-0.048184527920378195,-0.023176355588260186,15,15
drop_label_conflict_participants,T4-T0,-0.02978146245559366,-0.024076539990640744,-0.04335167518302685,-0.01661535739875813,13,15
drop_label_conflict_participants,"mean(T1,T2,T3,T4)-T0",-0.02852183958359838,-0.024010971540296855,-0.04023130008773982,-0.017438689743272676,13,15
drop_cross_project_duplicate_participants,T1-T0,-0.022244122619658645,-0.018439248832043953,-0.033535412607,-0.011593937653632825,13,15
drop_cross_project_duplicate_participants,T2-T0,-0.026560538190173552,-0.023906493693231612,-0.03836441059456427,-0.015043281588241761,12,15
drop_cross_project_duplicate_participants,T3-T0,-0.03521427242322493,-0.032190289152478124,-0.04811819612683926,-0.023202976105225877,15,15
drop_cross_project_duplicate_participants,T4-T0,-0.02979734268433273,-0.024076539990640744,-0.043337253549503005,-0.01665984112397066,13,15
drop_cross_project_duplicate_participants,"mean(T1,T2,T3,T4)-T0",-0.028454068979347488,-0.024010971540296855,-0.040086624510807536,-0.01745655434269541,13,15
drop_all_duplicate_flags,T1-T0,-0.022433456702898365,-0.018499111674772917,-0.033684501463181735,-0.011841336349013293,13,15
drop_all_duplicate_flags,T2-T0,-0.026930260526806575,-0.023960541506829913,-0.03891596115389928,-0.015285750805629559,12,15
drop_all_duplicate_flags,T3-T0,-0.03544594010250592,-0.03189985580017174,-0.04843563404897056,-0.02349852446068987,15,15
drop_all_duplicate_flags,T4-T0,-0.029903509565530836,-0.024076539990640744,-0.043441758030162106,-0.0168530030530986,13,15
drop_all_duplicate_flags,"mean(T1,T2,T3,T4)-T0",-0.028678291724435426,-0.02401418855321813,-0.0402529394773401,-0.017720449419195837,14,15
