subset,taxonomy_condition,rows,macro_f1,delta_vs_subset_t0
all_glm_rows,T0,1500,0.737649261248127,0.0
all_glm_rows,T1,1500,0.7154803843670625,-0.022168876881064503
all_glm_rows,T2,1500,0.7141168264247533,-0.02353243482337375
all_glm_rows,T3,1500,0.7111921369757569,-0.026457124272370125
all_glm_rows,T4,1500,0.7134547705803372,-0.02419449066778978
dominant_response_model=frank/GLM-5.2,T0,769,0.7508483298110339,0.0
dominant_response_model=frank/GLM-5.2,T1,767,0.7258389775061783,-0.02500935230485557
dominant_response_model=frank/GLM-5.2,T2,758,0.70905451976842,-0.041793810042613844
dominant_response_model=frank/GLM-5.2,T3,746,0.7089675094542017,-0.04188082035683216
dominant_response_model=frank/GLM-5.2,T4,760,0.7098838248972111,-0.04096450491382275
account_segment=after_key_change,T0,604,0.7344289827255278,0.0
account_segment=after_key_change,T1,591,0.6952467076254972,-0.039182275100030584
account_segment=after_key_change,T2,600,0.725741915276799,-0.008687067448728825
account_segment=after_key_change,T3,600,0.7135074707959793,-0.020921511929548497
account_segment=after_key_change,T4,614,0.7192029990660171,-0.015225983659510667
account_segment=before_key_change,T0,896,0.7391612086427841,0.0
account_segment=before_key_change,T1,909,0.7285700283040074,-0.010591180338776707
account_segment=before_key_change,T2,900,0.7061433100516213,-0.033017898591162775
account_segment=before_key_change,T3,900,0.7093045766583838,-0.02985663198440036
account_segment=before_key_change,T4,886,0.7094896331738436,-0.029671575468940503
