subset,taxonomy_condition,common_issue_count,condition_rows_on_common_issues,macro_f1,paired_delta_vs_common_t0,pairing
all_glm_rows,T0,1500,1500,0.737649261248127,0.0,"same GLM model, same issue_id intersection across all five taxonomy conditions within subset"
all_glm_rows,T1,1500,1500,0.7154803843670625,-0.022168876881064503,"same GLM model, same issue_id intersection across all five taxonomy conditions within subset"
all_glm_rows,T2,1500,1500,0.7141168264247533,-0.02353243482337375,"same GLM model, same issue_id intersection across all five taxonomy conditions within subset"
all_glm_rows,T3,1500,1500,0.7111921369757569,-0.026457124272370125,"same GLM model, same issue_id intersection across all five taxonomy conditions within subset"
all_glm_rows,T4,1500,1500,0.7134547705803372,-0.02419449066778978,"same GLM model, same issue_id intersection across all five taxonomy conditions within subset"
dominant_response_model=frank/GLM-5.2,T0,42,42,0.7260606060606061,0.0,"same GLM model, same issue_id intersection across all five taxonomy conditions within subset"
dominant_response_model=frank/GLM-5.2,T1,42,42,0.7000000000000001,-0.026060606060606006,"same GLM model, same issue_id intersection across all five taxonomy conditions within subset"
dominant_response_model=frank/GLM-5.2,T2,42,42,0.6373517786561265,-0.0887088274044796,"same GLM model, same issue_id intersection across all five taxonomy conditions within subset"
dominant_response_model=frank/GLM-5.2,T3,42,42,0.6724637681159421,-0.053596837944663966,"same GLM model, same issue_id intersection across all five taxonomy conditions within subset"
dominant_response_model=frank/GLM-5.2,T4,42,42,0.6742424242424242,-0.051818181818181874,"same GLM model, same issue_id intersection across all five taxonomy conditions within subset"
account_segment=after_key_change,T0,13,13,0.5818181818181819,0.0,"same GLM model, same issue_id intersection across all five taxonomy conditions within subset"
account_segment=after_key_change,T1,13,13,0.5818181818181819,0.0,"same GLM model, same issue_id intersection across all five taxonomy conditions within subset"
account_segment=after_key_change,T2,13,13,0.5090909090909091,-0.07272727272727275,"same GLM model, same issue_id intersection across all five taxonomy conditions within subset"
account_segment=after_key_change,T3,13,13,0.5818181818181819,0.0,"same GLM model, same issue_id intersection across all five taxonomy conditions within subset"
account_segment=after_key_change,T4,13,13,0.5818181818181819,0.0,"same GLM model, same issue_id intersection across all five taxonomy conditions within subset"
account_segment=before_key_change,T0,83,83,0.711959465770057,0.0,"same GLM model, same issue_id intersection across all five taxonomy conditions within subset"
account_segment=before_key_change,T1,83,83,0.696410824317801,-0.015548641452255985,"same GLM model, same issue_id intersection across all five taxonomy conditions within subset"
account_segment=before_key_change,T2,83,83,0.6658312447786131,-0.04612822099144387,"same GLM model, same issue_id intersection across all five taxonomy conditions within subset"
account_segment=before_key_change,T3,83,83,0.6913018981562433,-0.020657567613813654,"same GLM model, same issue_id intersection across all five taxonomy conditions within subset"
account_segment=before_key_change,T4,83,83,0.711959465770057,0.0,"same GLM model, same issue_id intersection across all five taxonomy conditions within subset"
