model_id,taxonomy_condition,observed_median_input_tokens,observed_median_output_tokens,observed_median_latency_ms,observed_p95_latency_ms
deepseek-v4-flash,T0,567.0,146.5,2651.0,5624.3499999999985
glm-5.2,T0,482.0,67.0,2997.5,16230.149999999998
kimi-k2.7-code,T0,475.0,145.0,4229.5,9119.299999999997
deepseek-v4-flash,T1,791.0,193.0,3158.0,8468.05
glm-5.2,T1,706.0,65.0,3265.5,18430.1
kimi-k2.7-code,T1,700.0,201.5,5514.5,14223.399999999994
deepseek-v4-flash,T2,837.0,185.5,3122.5,7313.799999999999
glm-5.2,T2,749.0,69.0,3164.0,17932.199999999997
kimi-k2.7-code,T2,743.0,201.0,5435.5,13238.849999999997
deepseek-v4-flash,T3,817.0,198.0,3229.0,7854.999999999999
glm-5.2,T3,737.0,67.0,3267.0,18186.499999999993
kimi-k2.7-code,T3,725.0,220.0,5801.5,15148.949999999997
deepseek-v4-flash,T4,880.0,222.0,3407.0,8590.65
glm-5.2,T4,785.0,62.5,3087.0,17989.3
kimi-k2.7-code,T4,780.0,210.5,5633.0,13554.8
