model_id,taxonomy_condition,n,empty_responses,strict_invalid_outputs,technical_error_rows_after_project_adapter_invocations,rows_with_additional_project_adapter_invocation,api_max_tokens_values,expected_visible_output_tokens_values,median_output_tokens,empty_median_output_tokens,median_visible_response_chars,nonempty_median_visible_response_chars,output_token_count_semantics,visible_output_semantics,response_model_values,finish_reason_available,finish_reason_note
deepseek-v4-flash,T0,1500,5,5,0,0,1024,32,146.5,1024.0,16.0,16.0,provider usage.completion_tokens; exact split between visible and hidden/reasoning tokens was not persisted,raw visible assistant message length in characters computed from preserved raw_output,deepseek-v4-flash,False,finish_reason was not persisted by the frozen provider adapter
deepseek-v4-flash,T1,1500,28,29,0,0,1024,32,193.0,1024.0,16.0,16.0,provider usage.completion_tokens; exact split between visible and hidden/reasoning tokens was not persisted,raw visible assistant message length in characters computed from preserved raw_output,deepseek-v4-flash,False,finish_reason was not persisted by the frozen provider adapter
deepseek-v4-flash,T2,1500,21,22,0,0,1024,32,185.5,1024.0,16.0,16.0,provider usage.completion_tokens; exact split between visible and hidden/reasoning tokens was not persisted,raw visible assistant message length in characters computed from preserved raw_output,deepseek-v4-flash,False,finish_reason was not persisted by the frozen provider adapter
deepseek-v4-flash,T3,1500,28,28,0,0,1024,32,198.0,1024.0,16.0,16.0,provider usage.completion_tokens; exact split between visible and hidden/reasoning tokens was not persisted,raw visible assistant message length in characters computed from preserved raw_output,deepseek-v4-flash,False,finish_reason was not persisted by the frozen provider adapter
deepseek-v4-flash,T4,1500,34,34,0,0,1024,32,222.0,1024.0,16.0,16.0,provider usage.completion_tokens; exact split between visible and hidden/reasoning tokens was not persisted,raw visible assistant message length in characters computed from preserved raw_output,deepseek-v4-flash,False,finish_reason was not persisted by the frozen provider adapter
glm-5.2,T0,1500,6,9,0,0,1024,32,67.0,1025.0,19.0,19.0,provider usage.completion_tokens; exact split between visible and hidden/reasoning tokens was not persisted,raw visible assistant message length in characters computed from preserved raw_output,accounts/fireworks/models/glm-5p2; frank/GLM-5.2; glm-5.2,False,finish_reason was not persisted by the frozen provider adapter
glm-5.2,T1,1500,6,13,0,0,1024,32,65.0,1025.0,16.0,16.0,provider usage.completion_tokens; exact split between visible and hidden/reasoning tokens was not persisted,raw visible assistant message length in characters computed from preserved raw_output,accounts/fireworks/models/glm-5p2; frank/GLM-5.2; glm-5.2,False,finish_reason was not persisted by the frozen provider adapter
glm-5.2,T2,1500,5,15,0,0,1024,32,69.0,1025.0,16.0,16.0,provider usage.completion_tokens; exact split between visible and hidden/reasoning tokens was not persisted,raw visible assistant message length in characters computed from preserved raw_output,accounts/fireworks/models/glm-5p2; frank/GLM-5.2; glm-5.2,False,finish_reason was not persisted by the frozen provider adapter
glm-5.2,T3,1500,4,7,0,0,1024,32,67.0,1025.0,16.0,16.0,provider usage.completion_tokens; exact split between visible and hidden/reasoning tokens was not persisted,raw visible assistant message length in characters computed from preserved raw_output,accounts/fireworks/models/glm-5p2; frank/GLM-5.2; glm-5.2,False,finish_reason was not persisted by the frozen provider adapter
glm-5.2,T4,1500,6,10,0,0,1024,32,62.5,1025.0,16.0,16.0,provider usage.completion_tokens; exact split between visible and hidden/reasoning tokens was not persisted,raw visible assistant message length in characters computed from preserved raw_output,accounts/fireworks/models/glm-5p2; frank/GLM-5.2; glm-5.2,False,finish_reason was not persisted by the frozen provider adapter
kimi-k2.7-code,T0,1500,0,0,0,0,1024,32,145.0,,20.0,20.0,provider usage.completion_tokens; exact split between visible and hidden/reasoning tokens was not persisted,raw visible assistant message length in characters computed from preserved raw_output,kimi-k2.7-code,False,finish_reason was not persisted by the frozen provider adapter
kimi-k2.7-code,T1,1500,16,16,0,0,1024,32,201.5,1024.0,16.0,16.0,provider usage.completion_tokens; exact split between visible and hidden/reasoning tokens was not persisted,raw visible assistant message length in characters computed from preserved raw_output,kimi-k2.7-code,False,finish_reason was not persisted by the frozen provider adapter
kimi-k2.7-code,T2,1500,15,15,0,0,1024,32,201.0,1024.0,16.0,16.0,provider usage.completion_tokens; exact split between visible and hidden/reasoning tokens was not persisted,raw visible assistant message length in characters computed from preserved raw_output,kimi-k2.7-code,False,finish_reason was not persisted by the frozen provider adapter
kimi-k2.7-code,T3,1500,19,20,0,0,1024,32,220.0,1024.0,16.0,16.0,provider usage.completion_tokens; exact split between visible and hidden/reasoning tokens was not persisted,raw visible assistant message length in characters computed from preserved raw_output,kimi-k2.7-code,False,finish_reason was not persisted by the frozen provider adapter
kimi-k2.7-code,T4,1500,21,21,0,0,1024,32,210.5,1024.0,16.0,16.0,provider usage.completion_tokens; exact split between visible and hidden/reasoning tokens was not persisted,raw visible assistant message length in characters computed from preserved raw_output,kimi-k2.7-code,False,finish_reason was not persisted by the frozen provider adapter
