ledger_segment,scope_type,scope_value,ledger_reservation_count,summary_reservation_count,counts_match,retry_attempt_reservation_count,unique_task_key_hash_count,minimum_ordinal,maximum_ordinal,ordinals_unique,ordinals_contiguous,hard_cap,summary_used,summary_remaining,expected_remaining,within_hard_cap,raw_target_attempt_ordinal_count,unique_raw_target_attempt_ordinal_count,ledger_targeted_inference_count,raw_target_ordinals_match_ledger,unmatched_ledger_targeted_inference_count,allowed_unmatched_targeted_inference_count,raw_target_ordinals_reconciled,overall_reconciled,analysis_status
stopped_access_window_1,overall,all,1646,1646,True,0,1646,1,1646,True,True,3000,1646,1354,1354,True,1640,1640,1643,False,3,3,True,True,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
stopped_access_window_1,kind,provider_health,3,3,True,0,3,1,1646,True,True,3000,1646,1354,1354,True,1640,1640,1643,False,3,3,True,True,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
stopped_access_window_1,kind,targeted_inference,1643,1643,True,0,1643,1,1646,True,True,3000,1646,1354,1354,True,1640,1640,1643,False,3,3,True,True,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
stopped_access_window_1,system,deepseek-v4-flash,528,528,True,0,528,1,1646,True,True,3000,1646,1354,1354,True,1640,1640,1643,False,3,3,True,True,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
stopped_access_window_1,system,glm-5.2,560,560,True,0,560,1,1646,True,True,3000,1646,1354,1354,True,1640,1640,1643,False,3,3,True,True,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
stopped_access_window_1,system,kimi-k2.7-code,558,558,True,0,558,1,1646,True,True,3000,1646,1354,1354,True,1640,1640,1643,False,3,3,True,True,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
recovery_access_window_2,overall,all,1063,1063,True,0,1063,1,1063,True,True,1360,1063,297,297,True,1060,1060,1060,True,0,0,True,True,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
recovery_access_window_2,kind,provider_health,3,3,True,0,3,1,1063,True,True,1360,1063,297,297,True,1060,1060,1060,True,0,0,True,True,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
recovery_access_window_2,kind,targeted_inference,1060,1060,True,0,1060,1,1063,True,True,1360,1063,297,297,True,1060,1060,1060,True,0,0,True,True,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
recovery_access_window_2,system,deepseek-v4-flash,374,374,True,0,374,1,1063,True,True,1360,1063,297,297,True,1060,1060,1060,True,0,0,True,True,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
recovery_access_window_2,system,glm-5.2,343,343,True,0,343,1,1063,True,True,1360,1063,297,297,True,1060,1060,1060,True,0,0,True,True,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
recovery_access_window_2,system,kimi-k2.7-code,346,346,True,0,346,1,1063,True,True,1360,1063,297,297,True,1060,1060,1060,True,0,0,True,True,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
