system_id,taxonomy_condition,repeat_id,canonical_successful_task_count,provider_usage_record_count,prompt_token_observation_count,prompt_tokens_total,prompt_tokens_median,completion_token_observation_count,completion_tokens_total,completion_tokens_median,completion_tokens_maximum,total_token_observation_count,total_tokens_total,total_tokens_median,visible_output_characters_total,visible_output_characters_median,latency_observation_count,latency_ms_median,rows_with_in_batch_retry,in_batch_retry_attempt_count,analysis_status
deepseek-v4-flash,T0,1,150,150,150,147220,561,150,24556,143,877,150,171776,697,2641,16,150,2476,0,0,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
deepseek-v4-flash,T0,2,150,150,150,147220,561,150,23348,141.5,405,150,170568,706,2639,16,150,2496,0,0,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
deepseek-v4-flash,T0,3,150,150,150,147220,561,150,25035,138,886,150,172255,716.5,2650,16,150,2469.5,0,0,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
deepseek-v4-flash,T3,1,150,150,150,184720,811,150,35504,189,1024,150,220224,1015.5,2625,16,150,2905,0,0,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
deepseek-v4-flash,T3,2,150,150,150,184720,811,150,36058,193.5,1024,150,220778,1047.5,2629,16,150,3060,0,0,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
deepseek-v4-flash,T3,3,150,150,150,184720,811,150,36907,211,1024,150,221627,1071,2618,16,150,3090.5,0,0,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
glm-5.2,T0,1,150,150,150,130534,480,150,10337,56.5,464,150,140871,537.5,2702,16,150,1727,0,0,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
glm-5.2,T0,2,150,150,150,130534,480,150,10214,58,460,150,140748,529.5,2707,16,150,1716.5,0,0,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
glm-5.2,T0,3,150,150,150,130534,480,150,10722,58.5,451,150,141256,539.5,2707,16,150,1682.5,0,0,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
glm-5.2,T3,1,150,150,150,168784,735,150,10840,54,495,150,179624,798,2702,16,150,1772,0,0,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
glm-5.2,T3,2,150,150,150,168784,735,150,10778,51,641,150,179562,793,2686,16,150,1629.5,0,0,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
glm-5.2,T3,3,150,150,150,168784,735,150,11229,50,574,150,180013,808.5,2689,16,150,1618.5,0,0,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
kimi-k2.7-code,T0,1,150,150,150,126039,470.5,150,22321,144,618,150,148360,609,2728,18,150,11086.5,0,0,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
kimi-k2.7-code,T0,2,150,150,150,126039,470.5,150,21642,140.5,370,150,147681,604,2732,20,150,11701,0,0,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
kimi-k2.7-code,T0,3,150,150,150,126039,470.5,150,22461,140.5,573,150,148500,610,2733,20,150,11312,0,0,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
kimi-k2.7-code,T3,1,150,150,150,163539,720.5,150,34591,208.5,1024,150,198130,945,2668,16,150,12664,0,0,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
kimi-k2.7-code,T3,2,150,150,150,163539,720.5,150,33834,203.5,1024,150,197373,951,2675,16,150,12463,0,0,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
kimi-k2.7-code,T3,3,150,150,150,163539,720.5,150,38942,218,1024,150,202481,982.5,2638,16,150,12828.5,0,0,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
